,School Name,City,2017-18 Rating,Rank/3046,Latitude,Longitude
0,Abraham Erb,Waterloo,8.5,144,43.47007045,-80.597760172342
1,Laurelwood,Waterloo,8.2,213,43.46926455,-80.5748918821046
2,Our Lady of Lourdes,Waterloo,7.9,334,43.45883995,-80.5310522128584
3,Millen Woods,Waterloo,7.8,388,43.5134931,-80.5046848177445
4,Lexington,Waterloo,7.5,559,43.5012874,-80.4967236432726
5,St Nicholas,Waterloo,7.5,559,42.5065685,-92.3054091
6,Mère-Élisabeth-Bruyère,Waterloo,7.3,681,43.48341545,-80.510189943213
7,Elizabeth Ziegler,Waterloo,7.2,740,43.4652466,-80.5118946521977
8,Mary Johnston,Waterloo,7.2,740,43.45848955,-80.5636294874684
9,Northlake Woods,Waterloo,7.2,740,43.4963718,-80.5648132138492
10,St Luke,Waterloo,7.2,740,53.4828908,-2.1388644
11,Vista Hills,Waterloo,7.1,796,43.4522328,-80.590945686038
12,Empire,Waterloo,7.0,865,43.45498905,-80.5340308612974
13,N A MacEachern,Waterloo,7.0,865,43.4896835,-80.5618477977088
14,St Matthew,Waterloo,7.0,865,52.3694076,9.729736
15,Lester B Pearson,Waterloo,6.9,947,43.5068852,-80.5065357688571
16,St Agnes,Waterloo,6.8,1024,52.2860103,-0.184931679580201
17,Holy Rosary,Waterloo,6.7,1096,43.4452235,-80.5537907331195
18,L'Harmonie,Waterloo,6.7,1096,50.7012819,4.4010295
19,Westvale,Waterloo,6.5,1246,43.44458345,-80.5608811979901
20,Edna Staebler,Waterloo,6.2,1470,43.4511712,-80.5772467250968
21,Winston Churchill,Waterloo,5.9,1686,43.48620585,-80.5339971914904
22,Sir Edgar Bauer,Waterloo,5.8,1769,43.49142235,-80.55460235
23,Sandowne,Waterloo,5.2,2157,43.4917955,-80.5064718133489
24,Keatsway,Waterloo,5.1,2210,43.4601098,-80.5457149364663
25,Cedarbrae,Waterloo,5.0,2263,43.48772775,-80.5520390045751
26,Lincoln Heights,Waterloo,3.6,2765,43.4821721,-80.5083564519535
28,Lackner Woods,Kitchener,7.9,334,43.4523849,-80.418477350778
31,Williamsburg,Kitchener,7.6,495,43.40228945,-80.503744196852
35,Alpine,Kitchener,7.2,740,43.4200926,-80.4807398831765
36,Brigadoon,Kitchener,7.2,740,43.38474885,-80.4553868950856
39,J W Gerth,Kitchener,6.9,947,43.3840899,-80.4394339936803
40,Bridgeport,Kitchener,6.8,1024,43.48279435,-80.4866645152383
41,Sheppard,Kitchener,6.6,1171,43.44701135,-80.4718380491857
42,Smithson,Kitchener,6.6,1171,43.4545164,-80.4616527536768
43,MacKenzie King,Kitchener,6.5,1246,43.4657256,-80.4475131035362
44,John Sweeney,Kitchener,6.4,1322,43.4084732,-80.5125455111303
45,Sandhills,Kitchener,6.3,1400,43.4327259,-80.5439046917766
47,St Aloysius,Kitchener,6.2,1470,43.42779605,-80.4440722850708
48,Jean Steckle,Kitchener,6.1,1549,43.38816575,-80.4841644368557
49,Blessed Sacrament,Kitchener,6.0,1616,43.407401,-80.483609687856
50,Cardinal-Léger,Kitchener,6.0,1616,43.4077836,-80.4819615212744
51,Canadian Martyrs,Kitchener,5.8,1769,43.4619039,-80.4466779764239
52,Groh,Kitchener,5.8,1769,43.3717451,-80.4393828447528
54,W.T. Townshend,Kitchener,5.8,1769,43.40645495,-80.5160731255828
55,Glencairn,Kitchener,5.7,1844,43.41048335,-80.4914373217115
56,Crestview,Kitchener,5.6,1921,43.4540155,-80.4419662637464
57,St John,Kitchener,5.6,1921,45.2783382,-66.0695146
58,Pioneer Park,Kitchener,5.5,1984,43.39678355,-80.4437213151299
59,Franklin,Kitchener,5.3,2100,43.44404375,-80.4472185209493
60,John Darling,Kitchener,5.2,2157,43.42009275,-80.5466531291088
62,Westmount,Kitchener,5.2,2157,43.4493292,-80.5215589419714
63,Driftwood Park,Kitchener,5.1,2210,43.41490885,-80.5368287298481
64,Suddaby,Kitchener,5.1,2210,43.4521811,-80.4824911626131
65,Chicopee Hills,Kitchener,5.0,2263,43.4451825,-80.4141150081519
66,Southridge,Kitchener,5.0,2263,43.4291513,-80.5185179640656
67,Meadowlane,Kitchener,4.7,2400,43.4187273,-80.5270180668541
68,Trillium,Kitchener,4.6,2449,43.4174238,-80.4959862772576
69,Wilson Avenue,Kitchener,4.6,2449,43.42597615,-80.4536764579604
70,Monsignor Haller,Kitchener,4.4,2529,43.4184178,-80.4927709458733
71,Forest Hill,Kitchener,4.1,2622,43.42594295,-80.5065468488717
72,Howard Robertson,Kitchener,4.0,2652,43.4300125,-80.4295396421464
73,Prueter,Kitchener,3.8,2711,43.46897535,-80.4911228133381
75,Queen Elizabeth,Kitchener,3.5,2788,43.4301204,-80.4855199588219
76,Rockway,Kitchener,3.5,2788,43.4287303,-80.4633695847824
77,Country Hills,Kitchener,3.2,2848,43.41335555,-80.4707269854407
78,J F Carmichael,Kitchener,3.2,2848,43.4393139,-80.504374575986
79,King Edward,Kitchener,3.0,2875,43.45423335,-80.5070238634455
80,A R Kaufman,Kitchener,2.3,2951,43.44231905,-80.5238679384629
